Title,Authors,Published Year,Number of Pages,Cover Image,Subjects
Accounting Principles,Jerry J. Weygandt,1987,N/A,https://covers.openlibrary.org/b/id/1241487-M.jpg,"Accounting, Problems, exercises, Problemes et exercices, Comptabilite, Rechnungswesen, Accounting, data processing, Business, Science, Finance, Accounting, vocational guidance, Accounting, problems, exercises, etc., Accounting, self study"
Data Science,Ebonie Slough,2022,N/A,N/A,
Python Data Science Handbook,Jake VanderPlas,2016,N/A,https://covers.openlibrary.org/b/id/8512092-M.jpg,"Python (Computer program language), Data mining, COMPUTERS, General, Datenanalyse, Datenmanagement, Python"
Doing Data Science,"Rachel Schutt, Cathy O'Neil",2013,N/A,https://covers.openlibrary.org/b/id/7863312-M.jpg,"Information science, Cyberinfrastructure, Big data, Database management, Data mining, Data structures (Computer science), Time series, Data processing, Bayesian analysis, Regression analysis, Stochastic processes, Algorithms, Mathematical & statistical software, Databases, Com018000, Cs.cmp_sc.app_sw.db, Information visualization"
Spatial Data Science,"Wilson, John P.",2024,N/A,N/A,
Thinking Data Science,Poornachandra Sarang,2022,N/A,N/A,
Freakonomics,"Steven D. Levitt, Stephen J. Dubner, Andrea Montero Cusset",2005,N/A,https://covers.openlibrary.org/b/id/11172914-M.jpg,"Economics, Economics -- Psychological aspects, Economics -- Sociological aspects, Finance, Nonfiction, Sociology, nyt:paperback_business_books=2012-02-25, New York Times bestseller, Popular Culture, business & economics, social science, economics theory, psychology, Socioeconomic Factors, data-mining, high-stakes tests, parenting, education, nominative determinism, collusion, Japan Sumo Association, real-estate agents, illegal drug trade, low earnings, crack cocaine, effect of legalized abortion on crime, incentives, cheating, teachers, sumo wrestlers, Sociological aspects, Economia (aspectos sociais), Business, Economia da informação, Psychological aspects of Economics, Économie politique, Aspect psychologique, Sociological aspects of Economics, Psychological aspects, Economia (aspectos psicológicos), Aspect sociologique, Aspectos sociales, Aspectos psicológicos, Economía, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Economics, psychological aspects, Economics, sociological aspects, Humor, Large type books, Economics--psychological aspects, Economics--sociological aspects, Hb74.p8 l479 2005, Hb74 .p8 l666f 2005, 330, Hb74.p8 l479 2006"
Data Science,"Carlos Alberto de Bragança Pereira, Polpo Adriano",2021,N/A,https://covers.openlibrary.org/b/id/13249109-M.jpg,
Secure Data Science,"Bhavani Thuraisingham, Murat Kantarcioglu, Latifur Khan",2022,N/A,https://covers.openlibrary.org/b/id/14763513-M.jpg,
Confident Data Science,Adam Ross Nelson,2023,N/A,https://covers.openlibrary.org/b/id/14714177-M.jpg,
Data Science,Nicholas Brown,2017,N/A,N/A,
Houghton Mifflin Science,Houghton Mifflin Company Staff,2000,N/A,https://covers.openlibrary.org/b/id/13207549-M.jpg,
Data Science,"Qurban A. Memon, Shakeel Ahmed Khoja",2019,N/A,N/A,"Data mining, Statistical methods, Big data, Quantitative research, COMPUTERS / Database Management / Data Mining, TECHNOLOGY / Electricity, TECHNOLOGY / Electronics / General"
Data Science,"Pallavi Vijay Chavan, Parikshit N. Mahalle, Ramchandra Mangrulkar, Idongesit Williams",2022,N/A,https://covers.openlibrary.org/b/id/13678385-M.jpg,
There Are Two Types of People in the World Those Who Can Extrapolate from Incomplete Data,Data Science Co,2019,N/A,N/A,
DATA SCIENCE,ANALYTICS GOLD,2018,N/A,https://covers.openlibrary.org/b/id/13810895-M.jpg,
Master in Data Science : a Practical Understanding of Data Science,Ivan Vacek,2021,N/A,N/A,
Data science,"John D. Kelleher, Brendan Tierney",2018,N/A,https://covers.openlibrary.org/b/id/14315207-M.jpg,"Quantitative research, Machine learning, Big data, Data mining, Research"
Data Science,"John D. Kelleher, Brendan Tierney",2018,N/A,https://covers.openlibrary.org/b/id/14315217-M.jpg,"Machine learning, Data mining, Research"
Data Science,"Vijay Kotu, Bala Deshpande",2018,N/A,N/A,"Data mining, Business, data processing"
Data Science,C. Raju,2023,N/A,N/A,
Data Science,"C. R. Rao, Arni S. R. Srinivasa Rao",2021,N/A,N/A,
Data Science,Monika Freunek Muller,2022,N/A,N/A,
Data Science,"Robert Stahlbock, Gary M. Weiss, Mahmoud Abou-Nasr",2019,N/A,https://covers.openlibrary.org/b/id/14745880-M.jpg,
Data Science,George Duckett,2016,N/A,N/A,
Data Science,H. Bhasin,2023,N/A,N/A,
Data Science,"Gyanendra K. Verma, Badal Soni, Salah Bourennane, Alexandre C. B. Ramos",2021,N/A,N/A,
Data Science,Zacharias Voulgaris,2017,N/A,N/A,"Computer software, Computers"
Javascript for Data Science,"Maya Gans, Toby Hodges, Greg Wilson",2020,N/A,N/A,
Data Science Handbook,Field Cady,2017,N/A,https://covers.openlibrary.org/b/id/14392282-M.jpg,"Data mining, Databases, Handbooks, manuals, Statistics, Data processing, Big data, Information theory"
Financial audit,United States. General Accounting Office,1943,N/A,N/A,"American Battle Monuments Commission, Auditing, Roads, Finance, District of Columbia Highway Trust Fund, Student loans, Law and legislation, Student aid, United States, United States. Department of Education, Appropriations and expenditures, Accounting, Medicare, Medicare Payment Advisory Commission (U.S.), Public Finance, Consolidated Financial statements, Executive impoundment of appropriated funds"
Cryptonomicon,Neal Stephenson,1999,N/A,https://covers.openlibrary.org/b/id/6424001-M.jpg,"Fiction, World War, 1939-1945, World War, 1939-1945 in fiction, Data encryption (Computer science), Cryptography, Literature, Science Fiction, Long Now Manual for Civilization, Code and cipher stories, Fiction, technological, World war, 1939-1945, fiction, Fiction, thrillers, Fiction, thrillers, general, Fiction, historical, Fiction, espionage, New York Times reviewed, Fiction, historical, general, Fiction, thrillers, espionage, Fiction, science fiction, general, Fiction, thrillers, technological, Fiction, science fiction, action & adventure, Fiction, science fiction, hard science fiction"
Practical Data Science With R,John Mount,2014,N/A,https://covers.openlibrary.org/b/id/7638454-M.jpg,"Mathematical statistics, Data processing, R (Computer program language), Data mining, Programming languages (electronic computers)"
Cracking the Data Science Interview,Maverick Lin,2019,N/A,https://covers.openlibrary.org/b/id/13285002-M.jpg,
Big Data,Mouad Radi,2021,N/A,N/A,
Data Science,Benjamin M. Abdel-Karim,2021,N/A,https://covers.openlibrary.org/b/id/13823386-M.jpg,
Computer science,"J. Glenn Brookshear, Brookshear",1985,N/A,https://covers.openlibrary.org/b/id/193281-M.jpg,"Computer science, Electronic digital computers, Electronic data processing, Computación, General Theory of Computing, Java & variants, Computers - General Information, Computer Books: General, Datavetenskap, Literary collections, Qa76 .b743 2009, 004"
Data Science : the Complete Guide to Data Science for Beginners,Sabra Deal,2021,N/A,N/A,
Python for Data Science,Alex Campbell,2021,N/A,N/A,
Data Science,I. G. I. Global,2014,N/A,N/A,
Data Science,Ras,2016,N/A,N/A,
Data Science,Michael Oettinger,2017,N/A,N/A,
Data Science,Tammy Barnes,2020,N/A,https://covers.openlibrary.org/b/id/14798209-M.jpg,
Data Science,"Mahdi Bohlouli, Bahram Sadeghi Bigham, Zahra Narimani, Mahdi Vasighi, Ebrahim Ansari",2020,N/A,https://covers.openlibrary.org/b/id/10166708-M.jpg,
